Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_Estacion_Arribo,Fecha_Arribo,Hora_Arribo
M,29,3415,129,2015-11-01,00:00:01.623000,132,2015-11-01,00:04:24
M,30,3085,84,2015-11-01,00:01:30.120000,78,2015-11-01,00:08:41
F,30,4927,128,2015-11-01,00:02:00.867000,172,2015-11-01,00:44:26.547000
F,30,4719,73,2015-11-01,00:02:14.440000,81,2015-11-01,00:10:08.110000
M,29,3927,87,2015-11-01,00:03:41.457000,194,2015-11-01,00:37:55
F,28,4973,87,2015-11-01,00:03:55.543000,259,2015-11-01,00:30:53
M,34,4813,134,2015-11-01,00:04:09.193000,155,2015-11-01,00:10:51
M,45,3328,87,2015-11-01,00:04:12.937000,259,2015-11-01,00:31:07
F,27,2297,27,2015-11-01,00:04:31.330000,9,2015-11-01,00:20:08.203000
M,28,4654,27,2015-11-01,00:04:42.873000,9,2015-11-01,00:20:08.203000
M,24,6444,27,2015-11-01,00:05:05.787000,11,2015-11-01,00:08:02
F,52,1918,82,2015-11-01,00:05:14.587000,260,2015-11-01,00:13:45.003000
M,30,6056,16,2015-11-01,00:05:20.593000,228,2015-11-01,00:25:39.330000
M,24,6434,134,2015-11-01,00:05:25.177000,327,2015-11-01,00:37:02
M,54,2976,142,2015-11-01,00:05:30.730000,144,2015-11-01,00:12:43
M,29,3945,134,2015-11-01,00:05:36.987000,37,2015-11-01,00:26:15.093000
M,24,0147,16,2015-11-01,00:05:40.153000,228,2015-11-01,00:25:25.387000
M,30,3153,16,2015-11-01,00:05:54.333000,16,2015-11-01,00:09:24.670000
F,20,2062,119,2015-11-01,00:06:02.587000,39,2015-11-01,00:14:17
M,22,2949,16,2015-11-01,00:06:12.490000,228,2015-11-01,00:25:09.687000
F,32,5354,107,2015-11-01,00:06:33.753000,112,2015-11-01,00:17:07
M,34,3743,58,2015-11-01,00:06:52.347000,137,2015-11-01,00:16:44
M,26,2640,394,2015-11-01,00:06:54.330000,394,2015-11-01,00:11:52
F,47,3922,18,2015-11-01,00:06:57.307000,99,2015-11-01,00:17:48
F,34,4316,89,2015-11-01,00:07:12.207000,20,2015-11-01,00:31:49
M,27,2406,161,2015-11-01,00:07:17.930000,28,2015-11-01,00:19:43.050000
M,23,4458,41,2015-11-01,00:07:22.250000,110,2015-11-01,00:55:11.380000
M,40,6250,89,2015-11-01,00:07:22.593000,20,2015-11-01,00:31:21
M,39,2599,141,2015-11-01,00:07:42.780000,81,2015-11-01,00:17:03.273000
